test_case_no,student_id,test_id,max_courses,max_courses_per_weakness,participant_ranking,language,orchestrator_runtime,data_gathering_attempts,data_gathering_questions,test_analysis,extract_weaknesses,course_recommendation,longest_vector_search,longest_rerank,user_facing_response,test_analysis_input_token,test_analysis_output_token,rerank_input_token_total,rerank_output_token_total,rerank_input_token_avg,rerank_output_token_avg,num_weaknesses,num_incorrect_answers
1,STUDENT_A,01KCXGG0SP0001H0Q1FW1GGERR,5,3,0.0,EN,38.0198,1.79,1.0268,14.7717,14.614,14.4379,0.432,13.8122,5.9925,1162,562,1028,814,257.0,203.5,4,5
2,STUDENT_A,01KCXGG0SS0001H0Q1FW1K4S0G,5,3,0.0,EN,25.8579,1.6841,1.0232,7.6796,7.3489,8.7031,0.3991,8.1353,6.7605,487,160,300,207,300.0,207.0,1,1
3,STUDENT_A,01KCXGG0SW0001H0Q1FW1P83Q8,5,3,0.0,EN,35.8282,1.6232,1.0331,16.8873,16.6576,9.5236,0.4374,7.9451,6.7601,1737,445,838,678,279.3333333333333,226.0,3,5
4,STUDENT_A,01KCXGG0SY0001H0Q1FW1RCVXG,5,3,0.0,EN,29.0748,1.5277,0.9207,10.7882,10.6584,8.2531,0.4188,7.6355,7.5847,855,231,289,217,289.0,217.0,1,3
5,STUDENT_A,01KCXGG0T10001H0Q1FW1TFQJ8,5,3,0.0,EN,26.5111,1.6244,0.9103,9.8414,9.6405,9.6253,0.4525,8.077,4.5091,1135,557,1149,872,287.25,218.0,4,5
6,STUDENT_A,01KCXGG0T30001H0Q1FW1WKFH8,5,3,0.0,EN,35.2192,1.5205,0.866,14.1888,13.9389,11.6786,0.3972,10.6243,6.9646,1649,491,849,663,283.0,221.0,3,8
7,STUDENT_A,01KCXGG0T50001H0Q1FW1Y9VRR,5,3,0.0,EN,27.6388,1.6238,1.3385,11.0538,10.8374,7.8823,0.4166,7.3109,5.7398,1305,442,841,617,280.3333333333333,205.66666666666666,3,6
8,STUDENT_A,01KCXGG0TA0001H0Q1FW23F3VG,5,3,0.0,EN,43.5647,1.6376,1.0741,21.645,21.42,12.2892,0.4442,10.7524,6.918,1234,578,1425,1111,285.0,222.2,5,5
9,STUDENT_A,01KCXGG0TC0001H0Q1FW253NG0,5,3,0.0,EN,42.9354,1.7733,1.0574,21.5526,21.3689,9.7521,0.4559,8.1346,8.7989,1803,920,1458,1174,291.6,234.8,8,8
10,STUDENT_A,01KCXGG0TF0001H0Q1FW27Z94G,5,3,0.0,EN,29.283,1.7356,0.8322,11.662,11.4897,9.4343,0.4345,8.0478,5.618,1667,676,1312,985,262.4,197.0,5,8
11,STUDENT_A,01KCXGG0TH0001H0Q1FW29T6W8,5,3,0.0,EN,36.7517,1.7267,0.9225,15.6648,15.4563,10.7546,0.4481,10.1648,7.6823,1158,476,1042,780,260.5,195.0,4,5
12,STUDENT_B,01KCXGG0TK0001H0Q1FW2BK82G,5,3,0.0,EN,2.4564,1.5155,0.9407,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,STUDENT_B,01KCXGG0TM0001H0Q1FW2D8TXG,5,3,0.0,EN,2.5552,1.5078,1.0469,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,STUDENT_C,01KCXGG0TP0001H0Q1FW2EZ65R,5,3,0.0,EN,27.4081,1.3975,0.8473,7.4112,7.2457,10.1774,0.4183,8.4649,7.574,788,268,572,460,286.0,230.0,2,3
15,STUDENT_C,01KCXGG0TR0001H0Q1FW2GMS0R,5,3,0.0,EN,22.1127,1.7395,1.02,9.6204,9.3985,4.9195,0.4055,4.3107,4.8126,794,202,294,228,294.0,228.0,1,3
16,STUDENT_D,01KCXGG0TT0001H0Q1FW2JBG00,5,3,0.0,EN,32.4637,1.3195,1.0506,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,STUDENT_D,01KCXGG0TV0001H0Q1FW2M1CKG,5,3,0.0,EN,49.5357,2.0184,0.9653,25.7651,25.2596,9.3183,0.4635,8.0381,11.4675,5553,1599,1431,1103,286.2,220.6,8,30
18,STUDENT_D,01KCXGG0TM0001H0Q1FW2D8TXG,5,3,0.0,EN,33.2516,1.4234,1.0377,13.7062,13.4915,9.2214,0.4093,8.6508,7.8622,1328,586,1152,902,288.0,225.5,4,6
19,STUDENT_E,01KEY5TSTDRV8CT25ABPCC485R,5,3,0.0,EN,32.4704,1.3376,0.8078,14.0386,13.8338,9.73,0.4504,8.5278,6.5546,1746,562,1113,856,278.25,214.0,4,8
